Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Duration_format,Genre_format,Producers_format,Studios_format
Beelzebub Specials,7.37,"Action, Comedy, Supernatural, Demons, School, Shounen",Special,16,Opera House,"Studio Pierrot, Pierrot Plus",Original,2 min. per ep.,2,Comedy,Opera House,Studio Pierrot
Otohime Connection,6.22,"Slice of Life, Mystery, Drama, Romance, Shoujo",OVA,1,"ING, Sony Music Entertainment",animate Film,Manga,45 min.,45,Drama,Sony Music Entertainment,animate Film
Blood-C,6.56,"Action, Mystery, Horror, Supernatural, Vampire, School",TV,12,"Aniplex, Mainichi Broadcasting System, Dwango",Production I.G,Manga,23 min. per ep.,23,Action,Aniplex,Production I.G
Higurashi no Naku Koro ni Kira,6.54,"Mystery, Parody",OVA,4,Frontier Works,Studio Deen,Original,29 min. per ep.,29,Mystery,Frontier Works,Studio Deen
Yuru Yuri,7.6,"Slice of Life, Comedy, School, Shoujo Ai",TV,12,"TV Tokyo, Daume, Sotsu, Pony Canyon, DAX Production, Studio Gram, PRA, Jumondo",Doga Kobo,Manga,23 min. per ep.,23,Comedy,TV Tokyo,Doga Kobo
Hetalia World Series Specials,7.53,"Comedy, Historical, Parody",Special,4,Frontier Works,Studio Deen,Web manga,5 min. per ep.,5,Comedy,Frontier Works,Studio Deen
Inazuma Eleven Go,6.98,"Shounen, Sports, Super Power",TV,47,"TV Tokyo, Dentsu, Half H.P Studio, TV Tokyo Music, Studio Jack",OLM,Game,24 min. per ep.,24,Shounen,TV Tokyo,OLM
Toyama Kankou Anime Project,5.48,"Slice of Life, Historical",Special,6,The Berich,P.A. Works,Original,5 min. per ep.,5,Slice of Life,The Berich,P.A. Works
Working'!!,7.87,"Comedy, Romance, Seinen, Slice of Life",TV,13,"Aniplex, Yomiuri Telecasting, Rakuonsha",A-1 Pictures,4-koma manga,24 min. per ep.,24,Comedy,Aniplex,A-1 Pictures
Shinseiki Duel Masters Flash,5.8,"Comedy, Kids",TV,24,G&G Entertainment,SynergySP,Original,21 min. per ep.,21,Comedy,G&G Entertainment,SynergySP
The Epic Of ZektBach,5.86,"Action, Supernatural, Fantasy",OVA,1,"Half H.P Studio, Konami Digital Entertainment",AIC,Music,30 min.,30,Action,Half H.P Studio,AIC
Rinkan Club,6.61,Hentai,OVA,4,Pixy,Seven,Visual novel,30 min. per ep.,30,Hentai,Pixy,Seven
Yakyuukyou no Uta,6.49,"Action, Drama, Sports",TV,25,Studio Jack,Nippon Animation,Manga,46 min. per ep.,46,Action,Studio Jack,Nippon Animation
Kamisama no Memochou,7.54,Mystery,TV,12,"Lantis, AT-X, Warner Bros. Japan, KlockWorx, ASCII Media Works",J.C.Staff,Light novel,26 min. per ep.,26,Mystery,Lantis,J.C.Staff
Ro-Kyu-Bu!,6.84,"Comedy, Ecchi, School, Sports",TV,12,"AT-X, Magic Capsule, Warner Bros. Japan, ASCII Media Works","Barnum Studio, Project No.9, Studio Blanc",Light novel,24 min. per ep.,24,Comedy,AT-X,Project No.9
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura,7.54,"Sports, Shounen",OVA,4,"Nihon Ad Systems, M.S.C",Production I.G,Manga,22 min. per ep.,22,Shounen,Nihon Ad Systems,Production I.G
C³,6.66,"Action, Comedy, Ecchi, School, Supernatural",TV,12,Starchild Records,SILVER LINK.,Light novel,24 min. per ep.,24,Comedy,Starchild Records,SILVER LINK.
Persona 4 the Animation,7.52,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School",TV,25,"Aniplex, Mainichi Broadcasting System, ASCII Media Works, Index",AIC ASTA,Game,25 min. per ep.,25,Sci-Fi,Aniplex,AIC ASTA
Naruto: Shippuuden Movie 5 - Blood Prison,7.46,"Action, Adventure, Martial Arts, Super Power, Mystery, Shounen",Movie,1,"TV Tokyo, Aniplex, Dentsu, Shueisha",Studio Pierrot,Manga,1 hr. 42 min.,102,Action,Aniplex,Studio Pierrot
Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,6.82,"Action, Mystery, Comedy, Romance",Special,1,flying DOG,J.C.Staff,Light novel,24 min.,24,Comedy,flying DOG,J.C.Staff
Rerere no Tensai Bakabon,6.22,Comedy,TV,24,"TV Tokyo, Yomiuri Advertising",Studio Pierrot,Manga,25 min. per ep.,25,Comedy,TV Tokyo,Studio Pierrot
R-15,6.5,"Comedy, Ecchi, Harem, Romance, School",TV,12,"Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC, Studio Kelmadick, Glovision","AIC, Remic",Light novel,24 min. per ep.,24,Comedy,KlockWorx,AIC
Mirai Nikki,7.54,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,"Lantis, Kadokawa Shoten, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, chara-ani.com, 12 Diary Holders, Dwango, Sakura Create",Asread,Manga,23 min. per ep.,23,Action,Lantis,Asread
Mardock Scramble: The Second Combustion,7.37,"Action, Psychological, Sci-Fi",Movie,1,"Aniplex, Starchild Records",GoHands,Novel,1 hr. 4 min.,64,Action,Aniplex,GoHands
Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,7.27,"Action, Adventure, Magic, Ecchi, Fantasy, School, Shounen",OVA,1,Studio Pastoral,Shaft,Manga,31 min.,31,Action,Studio Pastoral,Shaft
Ao no Exorcist: Ura Ex,7.1,"Action, Fantasy, Supernatural, Shounen",Special,10,Aniplex,A-1 Pictures,Manga,1 min. per ep.,1,Action,Aniplex,A-1 Pictures
Morita-san wa Mukuchi.,6.53,"Comedy, School, Slice of Life",TV,13,"DAX Production, Takeshobo",Seven,4-koma manga,3 min. per ep.,3,Comedy,DAX Production,Seven
Blood-C: The Last Dark,7.2,"Action, Horror, Supernatural, Vampire",Movie,1,"Aniplex, Dentsu, Shochiku, Kadokawa Shoten, Mainichi Broadcasting System, Dwango",Production I.G,Original,1 hr. 50 min.,110,Action,Aniplex,Production I.G
Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,7.16,"Action, Adventure, Martial Arts, Shounen, Super Power",Movie,1,Shueisha,Studio Pierrot,Manga,14 min.,14,Action,Shueisha,Studio Pierrot
Magic Tree House,6.97,"Adventure, Magic",Movie,1,"TV Tokyo, Dentsu, TV Osaka, Media Factory, GAGA, Yahoo! Japan",Ajia-Do,Book,1 hr. 40 min.,100,Adventure,TV Tokyo,Ajia-Do
Plastic Neesan,7.26,"Comedy, School, Seinen",ONA,12,Good Smile Company,TYO Animations,Manga,2 min. per ep.,2,Comedy,Good Smile Company,TYO Animations
Towa no Quon 2: Konton no Ranbu,7.39,"Action, Sci-Fi, Mystery, Super Power, Supernatural",Movie,1,"Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL",Bones,Original,48 min.,48,Action,Lantis,Bones
Towa no Quon 3: Mugen no Renza,7.49,"Action, Sci-Fi, Super Power, Psychological, Supernatural",Movie,1,"Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL",Bones,Original,48 min.,48,Action,Lantis,Bones
Towa no Quon 4: Guren no Shoushin,7.6,"Action, Sci-Fi, Super Power, Supernatural",Movie,1,"Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL",Bones,Original,48 min.,48,Action,Lantis,Bones
Towa no Quon 5: Souzetsu no Raifuku,7.56,"Action, Sci-Fi, Super Power, Supernatural",Movie,1,"Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL",Bones,Original,48 min.,48,Action,Lantis,Bones
Towa no Quon 6: Towa no Quon,7.64,"Action, Sci-Fi, Super Power, Supernatural",Movie,1,"Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL",Bones,Original,48 min.,48,Action,Lantis,Bones
Boku wa Tomodachi ga Sukunai,7.27,"Ecchi, Slice of Life, Comedy, Harem, Romance, School",TV,12,"AIC, Media Factory, TBS, Bushiroad, Bandai Namco Games, Good Smile Company",AIC Build,Light novel,24 min. per ep.,24,Comedy,TBS,AIC Build
Mawaru Penguindrum,7.98,"Mystery, Comedy, Dementia, Psychological, Drama",TV,24,"Starchild Records, Mainichi Broadcasting System",Brain's Base,Original,24 min. per ep.,24,Comedy,Mainichi Broadcasting System,Brain's Base
Sojunghan Nal-ui Kkum,6.49,"Comedy, Drama, Romance",Movie,1,Studio MWP,Studio Meditation With a Pencil,Original,1 hr. 39 min.,99,Comedy,Studio MWP,Studio Meditation With a Pencil
Maid Ane,6.13,Hentai,OVA,2,Digital Works,Y.O.U.C,Manga,30 min. per ep.,30,Hentai,Digital Works,Y.O.U.C
Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,7.47,"Action, Comedy, Sports, School, Shounen",Movie,1,Nihon Ad Systems,"Production I.G, M.S.C",Manga,1 hr. 27 min.,87,Comedy,Nihon Ad Systems,Production I.G
A-Channel: +A-Channel,6.97,"Comedy, School, Slice of Life, Seinen",Special,11,Aniplex,Studio Gokumi,4-koma manga,2 min. per ep.,2,Comedy,Aniplex,Studio Gokumi
Pokemon Movie 14 Black: Victini to Shiroki Eiyuu Reshiram,6.63,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,"TV Tokyo, Shogakukan-Shueisha Productions, Marvelous, Toho",OLM,Game,1 hr. 36 min.,96,Comedy,TV Tokyo,OLM
Buta Himesama,5.6,"Hentai, Supernatural, Fantasy",OVA,1,Pink Pineapple,Seven,Visual novel,30 min.,30,Fantasy,Pink Pineapple,Seven
Mahou Shoujo Elena,6.51,"Hentai, Supernatural, Magic",OVA,3,"Valkyria, Anime Antenna Iinkai","Studio Fantasia, Rabbit Gate",Visual novel,26 min. per ep.,26,Supernatural,Valkyria,Studio Fantasia
Kore wa Zombie Desu ka? of the Dead,7.56,"Action, Harem, Comedy, Supernatural, Magic, Ecchi",TV,10,"Kadokawa Shoten, AT-X, Kadokawa Pictures Japan, KlockWorx, flying DOG",Studio Deen,Light novel,24 min. per ep.,24,Comedy,AT-X,Studio Deen
Guilty Crown,7.52,"Action, Sci-Fi, Super Power, Drama, Romance, Mecha",TV,22,"Aniplex, Dentsu, Movic, Fuji TV, Fujipacific Music",Production I.G,Original,24 min. per ep.,24,Action,Aniplex,Production I.G
IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,6.92,"Action, Sci-Fi, Harem, Comedy, Ecchi, Mecha",OVA,1,Sony Music Communications,8bit,Light novel,26 min.,26,Comedy,Sony Music Communications,8bit
Un-Go,7.4,"Mystery, Supernatural",TV,11,"Dentsu, Fuji TV, Toho, Sony Music Entertainment, Fujipacific Music",Bones,Novel,24 min. per ep.,24,Supernatural,Dentsu,Bones
Chihayafuru,8.23,"Drama, Game, Josei, School, Slice of Life, Sports",TV,25,"VAP, Nippon Television Network",Madhouse,Manga,22 min. per ep.,22,Drama,VAP,Madhouse
Copihan,5.47,"Comedy, School, Sci-Fi",ONA,7,"Studio Mausu, Slow Curve",Gonzo,Manga,6 min. per ep.,6,Comedy,Studio Mausu,Gonzo
"Ikoku Meiro no Croisée The Animation: Ongakkai ""Récital""",7.35,"Slice of Life, Historical, Seinen",Special,1,Aoni Entertainment,Satelight,Manga,23 min.,23,Slice of Life,Aoni Entertainment,Satelight
Kami nomi zo Shiru Sekai: 4-nin to Idol,7.32,"Comedy, Music, Shounen, Supernatural",OVA,1,"Geneon Universal Entertainment, Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment",Manglobe,Manga,24 min.,24,Comedy,Geneon Universal Entertainment,Manglobe
Mobile Suit Gundam AGE,6.49,"Action, Mecha, Sci-Fi, Space",TV,49,"Sotsu, Lantis, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,Original,24 min. per ep.,24,Action,Lantis,Sunrise
Fullmetal Alchemist: The Sacred Star of Milos Specials,6.97,"Comedy, Magic, Fantasy",ONA,4,Studio Moriken,Bones,Manga,4 min. per ep.,4,Comedy,Studio Moriken,Bones
Inumarudashi,5.24,Comedy,TV,4,indigo line,Gathering,Manga,3 min. per ep.,3,Comedy,indigo line,Gathering
Steins;Gate: Oukoubakko no Poriomania,8.34,"Sci-Fi, Comedy, Thriller",Special,1,Frontier Works,White Fox,Visual novel,24 min.,24,Comedy,Frontier Works,White Fox
Scan2Go,6.08,"Game, Cars, Space, Kids",TV,52,d-rights,SynergySP,Original,25 min. per ep.,25,Space,d-rights,SynergySP
Saki Achiga-hen: Episode of Side-A,7.33,"Game, School, Slice of Life",TV,12,"TV Tokyo, Square Enix, Sotsu, Lantis, Pony Canyon",Studio Gokumi,Manga,24 min. per ep.,24,School,Lantis,Studio Gokumi
Boku wa Tomodachi ga Sukunai Episode 0,6.75,"Slice of Life, Comedy, Romance, School",OVA,1,"Bushiroad, Good Smile Company",AIC Build,Light novel,11 min.,11,Comedy,Good Smile Company,AIC Build
Kowarekake no Orgel (Movie),7.32,"Sci-Fi, Music, Slice of Life, Drama",Movie,1,ElectromagneticWave,Actas,Original,30 min.,30,Drama,ElectromagneticWave,Actas
Tantei Opera Milky Holmes: Summer Special,6.98,"Comedy, Mystery, Super Power",Special,1,"Bushiroad, Chrono Gear Creative",J.C.Staff,Card game,25 min.,25,Comedy,Bushiroad,J.C.Staff
Queen's Blade OVA,6.36,"Action, Adventure, Ecchi, Fantasy",OVA,2,"Genco, Media Factory, Hobby Japan",Arms,Other,21 min. per ep.,21,Action,Genco,Arms
Hourou Musuko Specials,7.63,"Drama, School",Special,2,"Aniplex, AIC, Dentsu, Fuji TV, Magic Capsule, Enterbrain, Fujipacific Music",AIC Classic,Manga,23 min. per ep.,23,Drama,Aniplex,AIC Classic
Nekogami Yaoyorozu: Ohanami Ghostbusters,6.68,"Comedy, Supernatural, Seinen",OVA,1,Akita Shoten,AIC PLUS+,Manga,27 min.,27,Comedy,Akita Shoten,AIC PLUS+
Mobile Suit Gundam: The Origin,8.36,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,Sotsu,Sunrise,Manga,1 hr. 11 min. per ep.,71,Action,Sotsu,Sunrise
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,7.41,"Sci-Fi, Sports, Super Power, Shounen",Movie,1,"Studio Jack, Dentsu Tec",OLM,Game,1 hr. 30 min.,90,Sci-Fi,Studio Jack,OLM
Toshokan Sensou: Kakumei no Tsubasa,7.8,"Action, Comedy, Military, Romance",Movie,1,"Kadokawa Shoten, Dwango, Sony PCL, Jinnan Studio",Production I.G,Novel,1 hr. 45 min.,105,Comedy,Kadokawa Shoten,Production I.G
Holy Knight,6.02,"Ecchi, Fantasy, Supernatural, School, Vampire, Seinen",OVA,2,Cammot,Lilix,Manga,30 min. per ep.,30,Fantasy,Cammot,Lilix
Inu x Boku SS,7.46,"Comedy, Supernatural, Romance, Shounen",TV,12,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic",David Production,Manga,24 min. per ep.,24,Comedy,Aniplex,David Production
Battle Spirits: Heroes,6.18,"Game, Sci-Fi",TV,50,Nagoya Broadcasting Network,Sunrise,Card game,24 min. per ep.,24,Sci-Fi,Nagoya Broadcasting Network,Sunrise
Muv-Luv Alternative: Total Eclipse,7.11,"Action, Military, Sci-Fi, Mecha",TV,24,"TV Tokyo, Avex Entertainment, AT-X, Magic Capsule, Nippon Cultural Broadcasting","Satelight, ixtl",Visual novel,24 min. per ep.,24,Action,TV Tokyo,Satelight
Vampire,6.58,"Hentai, Supernatural, Vampire",OVA,2,"Digital Works, MS Pictures",Y.O.U.C,Original,30 min. per ep.,30,Supernatural,Digital Works,Y.O.U.C
"Natsu-iro Egao de 1, 2, Jump!",7.25,Music,Music,1,Lantis,Sunrise,Music,5 min.,5,Music,Lantis,Sunrise
Hunter x Hunter (2011),9.1,"Action, Adventure, Fantasy, Shounen, Super Power",TV,148,"VAP, Nippon Television Network, Shueisha",Madhouse,Manga,23 min. per ep.,23,Action,Shueisha,Madhouse
Shoukoujo The Animation,6.8,Hentai,OVA,2,"Pink Pineapple, T-Rex",Office Take Off,Visual novel,30 min. per ep.,30,Hentai,Pink Pineapple,Office Take Off
Kill Me Baby,6.87,"Comedy, School, Seinen",TV,13,"Pony Canyon, TBS, Magic Capsule",J.C.Staff,4-koma manga,24 min. per ep.,24,Comedy,Pony Canyon,J.C.Staff
Another,7.55,"Mystery, Horror, Supernatural, Thriller, School",TV,12,"Lantis, Kadokawa Shoten, Toho, KlockWorx, Bandai Namco Live Creative, NTT Docomo",P.A. Works,Light novel,24 min. per ep.,24,School,Lantis,P.A. Works
Sekaiichi Hatsukoi 2,7.97,"Comedy, Drama, Romance, Shounen Ai",TV,12,"Lantis, Kadokawa Shoten, AT-X, KlockWorx",Studio Deen,Manga,24 min. per ep.,24,Comedy,Lantis,Studio Deen
Hybrid Child,7.69,"Drama, Historical, Romance, Sci-Fi, Shounen Ai",OVA,4,Lantis,Studio Deen,Manga,25 min. per ep.,25,Drama,Lantis,Studio Deen
Papa no Iukoto wo Kikinasai!,7.33,"Comedy, Romance, Slice of Life",TV,12,"Starchild Records, KlockWorx, PPP, Studio Mausu, Shueisha",feel.,Light novel,23 min. per ep.,23,Comedy,KlockWorx,feel.
Maken-Ki! OVA,6.64,"Action, Ecchi, Harem, Martial Arts, School, Super Power",OVA,2,AIC,Xebec,Manga,24 min. per ep.,24,Action,AIC,Xebec
Rinne no Lagrange,6.92,"Action, Sci-Fi, Comedy, Mecha",TV,12,"Production I.G, Bandai Visual, Yomiuri Telecasting, flying DOG, Dwango",Xebec,Original,23 min. per ep.,23,Comedy,Bandai Visual,Xebec
Amagami SS+ Plus,7.44,"Slice of Life, Comedy, Romance, School",TV,13,TBS,AIC,Visual novel,24 min. per ep.,24,Comedy,TBS,AIC
Hidamari Sketch x SP,7.79,"Slice of Life, Comedy, School, Seinen",Special,2,"Aniplex, Lantis, TBS, Movic, Houbunsha",Shaft,4-koma manga,24 min. per ep.,24,Comedy,Aniplex,Shaft
Hidamari Sketch x Honeycomb,7.94,"Slice of Life, Comedy, School, Seinen",TV,12,"Aniplex, Lantis, TBS, Movic, Houbunsha, Grooove",Shaft,4-koma manga,24 min. per ep.,24,Comedy,Aniplex,Shaft
Brave 10,6.8,"Action, Adventure, Historical, Super Power, Samurai, Seinen",TV,12,"Media Factory, Studio Saki Makura, TMS Music",TMS Entertainment,Manga,24 min. per ep.,24,Action,Media Factory,TMS Entertainment
Ao no Exorcist: Kuro no Iede,7.31,"Action, Demons, Fantasy, Shounen, Supernatural",Special,1,Aniplex,A-1 Pictures,Manga,24 min.,24,Action,Aniplex,A-1 Pictures
Black★Rock Shooter (TV),6.85,"Action, Drama, School, Slice of Life",TV,8,"Aniplex, Dentsu, Fuji TV, Ultra Super Pictures, Sony Music Entertainment, Fujipacific Music, Good Smile Company","Ordet, SANZIGEN",Other,23 min. per ep.,23,Action,Aniplex,SANZIGEN
Kimi no Iru Machi: Tasogare Kousaten,7.23,"Drama, Romance, School, Shounen",OVA,2,Kodansha,Tatsunoko Production,Manga,24 min. per ep.,24,Drama,Kodansha,Tatsunoko Production
Zero no Tsukaima F,7.52,"Adventure, Magic, Romance, Ecchi, Fantasy",TV,12,"Cospa, Showgate",J.C.Staff,Light novel,24 min. per ep.,24,Fantasy,Showgate,J.C.Staff
A-Channel+smile,7.12,"Comedy, School, Seinen, Slice of Life",OVA,2,"Aniplex, Dentsu, Mainichi Broadcasting System",Studio Gokumi,4-koma manga,25 min. per ep.,25,Comedy,Aniplex,Studio Gokumi
Tantei Opera Milky Holmes Dai 2 Maku,7.22,"Mystery, Comedy, Super Power",TV,12,"Sotsu, Lantis, Dwango, Bushiroad, Good Smile Company, Chrono Gear Creative","J.C.Staff, Artland",Original,24 min. per ep.,24,Comedy,Lantis,J.C.Staff
Shin Tennis no Ouji-sama,7.56,"Action, Comedy, Sports, Shounen",TV,13,"TV Tokyo, Bandai Visual, Nihon Ad Systems, TV Tokyo Music, Marvelous AQL, Shueisha","Production I.G, M.S.C",Manga,23 min. per ep.,23,Comedy,TV Tokyo,Production I.G
.hack//The Movie: Sekai no Mukou ni,7.14,"Action, Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",Movie,1,"Bandai, CyberConnect2, flying DOG, Asmik Ace",Anima,Game,1 hr. 50 min.,110,Action,flying DOG,Anima
Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,6.45,"Action, Adventure, Comedy, Fantasy, Shounen",TV,25,TV Asahi,Toei Animation,Original,25 min. per ep.,25,Comedy,TV Asahi,Toei Animation
Ano Natsu de Matteru,7.49,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",TV,12,"Geneon Universal Entertainment, Genco, AT-X, Bushiroad, Showgate",J.C.Staff,Original,23 min. per ep.,23,Comedy,AT-X,J.C.Staff
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,7.11,"Action, Samurai, Historical, Drama, Shounen",OVA,2,Aniplex,Studio Deen,Manga,46 min. per ep.,46,Action,Aniplex,Studio Deen
UFO Princess Valkyrie: Recap,6.22,"Comedy, Romance, Sci-Fi",Special,1,"Media Factory, Nippon Columbia, KlockWorx, Toshiba Entertainment",TNK,Manga,45 min.,45,Comedy,KlockWorx,TNK
Chibi☆Devi!,6.76,"Fantasy, Shoujo, Supernatural",TV,75,"Shogakukan-Shueisha Productions, Half H.P Studio",SynergySP,Manga,5 min. per ep.,5,Fantasy,Half H.P Studio,SynergySP
Tsuma no Haha Sayuri,6.54,Hentai,OVA,2,Digital Works,Y.O.U.C,Visual novel,30 min. per ep.,30,Hentai,Digital Works,Y.O.U.C
Recorder to Randoseru Do♪,6.69,"Comedy, School, Seinen, Slice of Life",TV,13,"Takeshobo, Dream Creation",Seven,4-koma manga,3 min. per ep.,3,Comedy,Dream Creation,Seven
Sankarea,7.36,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",TV,12,"Lantis, Pony Canyon, TBS, Kodansha, BS-TBS",Studio Deen,Manga,24 min. per ep.,24,Comedy,Lantis,Studio Deen
Kiss Dum: Omokage,6.03,"Mecha, Military, Sci-Fi",Special,1,Bandai Visual,Satelight,Original,12 min.,12,Sci-Fi,Bandai Visual,Satelight
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.5,"Sci-Fi, Drama",Movie,1,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES.",White Fox,Visual novel,1 hr. 30 min.,90,Drama,Movic,White Fox
Nisemonogatari,8.18,"Mystery, Comedy, Supernatural, Ecchi",TV,11,"Aniplex, Kodansha, Rakuonsha",Shaft,Light novel,24 min. per ep.,24,Comedy,Aniplex,Shaft
Morita-san wa Mukuchi. 2,6.68,"Comedy, School, Slice of Life",TV,13,"DAX Production, Takeshobo",Seven,4-koma manga,3 min. per ep.,3,Comedy,DAX Production,Seven
High School DxD,7.4,"Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,"Genco, Lantis, AT-X, PRA, Showgate, Atelier Musa, Fujimi Shobo",TNK,Light novel,24 min. per ep.,24,Comedy,Lantis,TNK
Blood Lad,7.33,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",TV,10,"Kadokawa Shoten, KlockWorx, flying DOG",Brain's Base,Manga,24 min. per ep.,24,Comedy,KlockWorx,Brain's Base
Natsume Yuujinchou Shi,8.67,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment",Brain's Base,Manga,24 min. per ep.,24,Drama,Aniplex,Brain's Base
Match Uri no Shoujo,6.03,"Drama, Kids",Movie,1,Gakken Eigakyoku,Toei Animation,Book,18 min.,18,Drama,Gakken Eigakyoku,Toei Animation
Area no Kishi,7.22,"Comedy, School, Shounen, Sports",TV,37,"TV Asahi, Imagine",Shin-Ei Animation,Manga,25 min. per ep.,25,Comedy,TV Asahi,Shin-Ei Animation
Code:Breaker,6.8,"Action, Comedy, Super Power, Supernatural, School, Shounen",TV,13,"Bandai Visual, Lantis, Kodansha, Memory-Tech, Bushiroad",Kinema Citrus,Manga,24 min. per ep.,24,Comedy,Lantis,Kinema Citrus
Ao no Exorcist Movie,7.64,"Action, Demons, Fantasy, Shounen, Supernatural",Movie,1,"Aniplex, Shueisha",A-1 Pictures,Manga,1 hr. 28 min.,88,Action,Aniplex,A-1 Pictures
Kimi to Boku. 2,7.98,"Comedy, Drama, Romance, School, Shounen, Slice of Life",TV,13,"TV Tokyo, Aniplex, Square Enix, Nihon Ad Systems, Movic",J.C.Staff,Manga,24 min. per ep.,24,Comedy,Aniplex,J.C.Staff
Fate/Zero 2nd Season,8.59,"Action, Supernatural, Magic, Fantasy",TV,12,"Aniplex, Nitroplus, Seikaisha, Notes",ufotable,Light novel,24 min. per ep.,24,Action,Aniplex,ufotable
Toaru Majutsu no Index Movie: Endymion no Kiseki,7.5,"Action, Magic, Sci-Fi, Super Power",Movie,1,"Geneon Universal Entertainment, Square Enix, AT-X, Warner Bros. Japan, ASCII Media Works",J.C.Staff,Original,1 hr. 30 min.,90,Action,AT-X,J.C.Staff
Kiriya Hakushaku Ke no Roku Shimai,6.72,Hentai,OVA,2,Pink Pineapple,G-Lam,Visual novel,30 min. per ep.,30,Hentai,Pink Pineapple,G-Lam
Senki Zesshou Symphogear,7.03,"Action, Sci-Fi, Music",TV,13,"Aniplex, Memory-Tech, Dwango, Bushiroad, Good Smile Company, King Records, Kinyosha","Satelight, Encourage Films",Original,23 min. per ep.,23,Action,Aniplex,Satelight
009 Re:Cyborg,6.53,"Action, Adventure, Mecha, Sci-Fi",Movie,1,"Nippon Television Network, Ishimori Pro","Production I.G, SANZIGEN",Manga,1 hr. 43 min.,103,Action,Nippon Television Network,Production I.G
Sword Art Online,7.25,"Action, Game, Adventure, Romance, Fantasy",TV,25,"Aniplex, Genco, DAX Production, ASCII Media Works, Bandai Namco Games",A-1 Pictures,Light novel,23 min. per ep.,23,Action,Aniplex,A-1 Pictures
Accel World,7.32,"Action, Game, Sci-Fi, Romance, School",TV,24,"Genco, Rakuonsha, Warner Bros. Japan, flying DOG, ASCII Media Works",Sunrise,Light novel,24 min. per ep.,24,Action,Genco,Sunrise
Medaka Box,7.07,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",TV,12,"TV Tokyo, Lantis, Media Factory, Hakoniwa Academy Student Council","Gainax, Asahi Production",Manga,24 min. per ep.,24,Comedy,Lantis,Gainax
Sekai de Ichiban Tsuyoku Naritai!,5.81,"Action, Ecchi, Sports",TV,12,"Movic, Earth Star Entertainment",Arms,Manga,23 min. per ep.,23,Action,Movic,Arms
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6.2,"Comedy, Ecchi, School, Seinen, Shoujo Ai",TV,12,"Lantis, Cammot",LMD,Manga,6 min. per ep.,6,Comedy,Lantis,LMD
Kuroko no Basket,8.15,"Comedy, School, Shounen, Sports",TV,25,"Bandai Visual, Lantis, Nihon Ad Systems, Mainichi Broadcasting System, Banpresto, Shueisha, BS11",Production I.G,Manga,24 min. per ep.,24,Comedy,Lantis,Production I.G
Dog Days',7.09,"Action, Adventure, Magic, Fantasy",TV,13,"Aniplex, Good Smile Company",Seven Arcs,Original,23 min. per ep.,23,Action,Aniplex,Seven Arcs
Haiyore! Nyaruko-san,7.07,"Sci-Fi, Comedy, Parody",TV,12,"TV Tokyo, Avex Entertainment, Sotsu, KlockWorx, Cospa, SoftBank Creative, Studio Mausu, Bulls Eye",Xebec,Light novel,24 min. per ep.,24,Comedy,TV Tokyo,Xebec
School,6.74,"Hentai, School",OVA,2,Hot Bear,Studio 9 MAiami,Original,27 min. per ep.,27,School,Hot Bear,Studio 9 MAiami
